#libID	p7	p5
A3134	301	17
A3135	302	18
A3136	303	19
A3137	304	20
A3138	305	21
A3139	306	22
A3140	307	23
A3141	308	24
A3142	309	25
A3143	310	26
A3144	311	27
A3145	312	28
A3146	313	29
A3147	314	30
A3148	315	31
A3149	316	32
A3150	317	33
A3151	318	34
A3152	319	35
A3153	320	36
A3154	321	37
A3155	322	38
A3156	323	39
A3157	324	40
A3158	325	41
A3159	326	42
A3160	327	43
A3161	328	44
A3162	329	45
A3163	330	46
A3164	331	47
A3165	332	48
A3166	333	49
A3167	334	50
A3168	335	51
A3169	336	52
A3170	337	53
A3171	338	54
A3172	339	55
A3173	340	56
A3174	341	57
A3175	342	58
A3176	343	59
A3177	344	60
A3178	345	61
A3179	346	62
A3180	347	63
A3181	348	64
A3182	349	65
A3183	350	66
A3184	351	67
A3185	352	68
A3186	353	69
A3187	354	70
A3188	355	71
A3189	356	72
A3190	357	73
A3191	358	74
A3192	359	75
A3193	360	76
